f1,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.22716562716562713,0.20312679484086857,entropy,5,1,5
0.22640671631383708,0.20702578657315732,entropy,5,1,10
0.23860549594689723,0.23366291903730643,entropy,5,1,15
0.24223109092379042,0.22386241694051343,entropy,5,1,20
0.2582459684898709,0.23413830062705349,entropy,5,5,2
0.24678903502432914,0.19731007049021468,entropy,5,5,5
0.2365929565929566,0.1855780577123572,entropy,5,5,10
0.2567676997630254,0.22988578077929264,entropy,5,5,15
0.2638530279659312,0.23849655924957333,entropy,5,5,20
0.3260596572181938,0.16356634747220714,entropy,5,10,2
0.3260596572181938,0.16356634747220714,entropy,5,10,5
0.3280108767303889,0.16678359199860862,entropy,5,10,10
0.3280108767303889,0.16678359199860862,entropy,5,10,15
0.3260596572181938,0.16356634747220714,entropy,5,10,20
0.25954941116231434,0.09070529514354135,entropy,5,15,2
0.25954941116231434,0.09070529514354135,entropy,5,15,5
0.25954941116231434,0.09070529514354135,entropy,5,15,10
0.25954941116231434,0.09070529514354135,entropy,5,15,15
0.25954941116231434,0.09070529514354135,entropy,5,15,20
0.3072018841630542,0.14811050075066223,entropy,5,20,2
0.3072018841630542,0.14811050075066223,entropy,5,20,5
0.3072018841630542,0.14811050075066223,entropy,5,20,10
0.3072018841630542,0.14811050075066223,entropy,5,20,15
0.3072018841630542,0.14811050075066223,entropy,5,20,20
0.29059366781828494,0.09350230084916956,entropy,10,1,2
0.26156133033334183,0.08158168326045757,entropy,10,1,5
0.31613698146781577,0.1217266919409806,entropy,10,1,10
0.2984473206254261,0.0884882444709025,entropy,10,1,15
0.29627452650708463,0.12259717112650532,entropy,10,1,20
0.2842009706540599,0.16594148095592023,entropy,10,5,2
0.26824441259223863,0.17104990269448303,entropy,10,5,5
0.2727083614769209,0.2009310678696361,entropy,10,5,10
0.271985791985792,0.09587829765287416,entropy,10,5,15
0.2973631760396466,0.13465526538009126,entropy,10,5,20
0.3185991120245066,0.15431691443665504,entropy,10,10,2
0.31912198784150003,0.15479579305396435,entropy,10,10,5
0.3160959831133677,0.15240163921597735,entropy,10,10,10
0.3200108767303889,0.15567100780396853,entropy,10,10,15
0.31912198784150003,0.15479579305396435,entropy,10,10,20
0.2666082346917261,0.07524554553982382,entropy,10,15,2
0.2666082346917261,0.07524554553982382,entropy,10,15,5
0.2666082346917261,0.07524554553982382,entropy,10,15,10
0.2666082346917261,0.07524554553982382,entropy,10,15,15
0.2666082346917261,0.07524554553982382,entropy,10,15,20
0.3072018841630542,0.14811050075066223,entropy,10,20,2
