roc_auc,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.6489844342635844,0.07149145800566524,gini,5,1,2
0.6488655702279714,0.10901159706897662,gini,5,1,5
0.648269041701601,0.10353556363048456,gini,5,1,10
0.6774962445602267,0.10989221733920233,gini,5,1,15
0.6780885684912364,0.11531227905135633,gini,5,1,20
0.6193378074220466,0.15231964784552693,gini,5,5,2
0.6268290738411786,0.1273393257600524,gini,5,5,5
0.6156326730746197,0.14715015960537053,gini,5,5,10
0.6253796737134187,0.14126471457258563,gini,5,5,15
0.6379560301632929,0.12311337698371878,gini,5,5,20
0.6936799941110712,0.1170830391406648,gini,5,10,2
0.6981513504611331,0.1188210732890797,gini,5,10,5
0.690086749411107,0.12714826562257328,gini,5,10,10
0.7003274968060046,0.11877605126807114,gini,5,10,15
0.6919552366550883,0.11606600407407912,gini,5,10,20
0.7182543318561105,0.12833576308320085,gini,5,15,2
0.7154806463847967,0.13967952527543837,gini,5,15,5
0.7170043318561106,0.13723363201037986,gini,5,15,10
0.7154951690821256,0.1359672855444573,gini,5,15,15
0.7169607637641235,0.1297635414841478,gini,5,15,20
0.7288124201501178,0.1338032353045077,gini,5,20,2
0.7268720680121372,0.13140745296935824,gini,5,20,5
0.7256220680121371,0.13029416691307033,gini,5,20,10
0.724162986086158,0.14292023839784276,gini,5,20,15
0.725412986086158,0.14409505240388745,gini,5,20,20
0.5524187277917515,0.1084241186113138,gini,10,1,2
0.5917901220705074,0.12754592317673005,gini,10,1,5
0.5953043528167046,0.11111569518850531,gini,10,1,10
0.6207598589651455,0.11937270597975831,gini,10,1,15
0.6498751097935881,0.12261465714683174,gini,10,1,20
0.6273391274404121,0.12506105608506193,gini,10,5,2
0.6366629237034375,0.17573449897989118,gini,10,5,5
0.6209340190441969,0.15127730626297892,gini,10,5,10
0.6389453702040165,0.1512281461716439,gini,10,5,15
0.6478342840459935,0.12518820138663564,gini,10,5,20
0.7112641858306384,0.05961401418842489,gini,10,10,2
0.7101143475266498,0.040694903570427085,gini,10,10,5
0.7150120523415978,0.06113020789747334,gini,10,10,10
0.7160803439533676,0.05867769345221399,gini,10,10,15
0.7094425230566535,0.03875307362462766,gini,10,10,20
0.7156775387271929,0.10250201436928864,gini,10,15,2
0.7215203791871282,0.10852460195645532,gini,10,15,5
0.7100889328063241,0.10059739149478213,gini,10,15,10
0.7153468853555316,0.09943408258196758,gini,10,15,15
0.7149084346428713,0.10048881096124346,gini,10,15,20
0.7352691939154389,0.12437570731835378,gini,10,20,2
0.724723207869206,0.14331684823698382,gini,10,20,5
0.7233367394298719,0.1435303092272103,gini,10,20,10
0.7286547415858187,0.13896883283543013,gini,10,20,15
0.7207855356928973,0.16206727439793084,gini,10,20,20
0.5892762606300156,0.13010629379314434,gini,15,1,2
0.5929117758613806,0.11901028916183215,gini,15,1,5
0.6090259936319719,0.1476471686052854,gini,15,1,10
0.631653728490438,0.1299855783623912,gini,15,1,15
