recall,std_dev,criterion,max_depth,min_samples_leaf,min_samples_split
0.21521739130434786,0.20411642772705224,gini,5,5,5
0.21521739130434786,0.20411642772705224,gini,5,5,10
0.19782608695652174,0.22858155527121596,gini,5,5,15
0.22391304347826088,0.22825051736359456,gini,5,5,20
0.2579710144927536,0.10107591753137794,gini,5,10,2
0.2579710144927536,0.10107591753137794,gini,5,10,5
0.2579710144927536,0.10107591753137794,gini,5,10,10
0.2579710144927536,0.10107591753137794,gini,5,10,15
0.2663043478260869,0.1278734014769804,gini,5,10,20
0.19746376811594205,0.1090814409720795,gini,5,15,2
0.19746376811594205,0.1090814409720795,gini,5,15,5
0.19746376811594205,0.1090814409720795,gini,5,15,10
0.19746376811594205,0.1090814409720795,gini,5,15,15
0.19746376811594205,0.1090814409720795,gini,5,15,20
0.23152173913043478,0.16777201201369338,gini,5,20,2
0.23152173913043478,0.16777201201369338,gini,5,20,5
0.23152173913043478,0.16777201201369338,gini,5,20,10
0.23152173913043478,0.16777201201369338,gini,5,20,15
0.23152173913043478,0.16777201201369338,gini,5,20,20
0.32717391304347826,0.1568233808423603,gini,10,1,2
0.28442028985507245,0.08725793173037896,gini,10,1,5
0.3018115942028986,0.1653000047713239,gini,10,1,10
0.2579710144927536,0.11506917821031425,gini,10,1,15
0.2757246376811594,0.27198925686433173,gini,10,1,20
0.30144927536231886,0.21798951509522513,gini,10,5,2
0.3007246376811595,0.24483747593868996,gini,10,5,5
0.30144927536231886,0.25625549107594603,gini,10,5,10
0.23260869565217393,0.15036188231122247,gini,10,5,15
0.23260869565217393,0.2607245974011296,gini,10,5,20
0.2579710144927536,0.10107591753137794,gini,10,10,2
0.2579710144927536,0.10107591753137794,gini,10,10,5
0.2579710144927536,0.10107591753137794,gini,10,10,10
0.2663043478260869,0.1278734014769804,gini,10,10,15
0.2579710144927536,0.10107591753137794,gini,10,10,20
0.19746376811594205,0.1090814409720795,gini,10,15,2
0.19746376811594205,0.1090814409720795,gini,10,15,5
0.19746376811594205,0.1090814409720795,gini,10,15,10
0.19746376811594205,0.1090814409720795,gini,10,15,15
0.19746376811594205,0.1090814409720795,gini,10,15,20
0.23152173913043478,0.16777201201369338,gini,10,20,2
0.23152173913043478,0.16777201201369338,gini,10,20,5
0.23152173913043478,0.16777201201369338,gini,10,20,10
0.23152173913043478,0.16777201201369338,gini,10,20,15
0.23152173913043478,0.16777201201369338,gini,10,20,20
